Time [s],Value,Parity Error,Framing Error
0.012227500000000,0x75,,
0.012239500000000,0x00,,Error
0.012252000000000,0x00,,Error
0.012264500000000,0x00,,Error
0.012277000000000,0x00,,
0.012290000000000,0xFF,,Error
0.012303500000000,0x00,,Error
0.012316000000000,0x00,,Error
0.012328500000000,0x00,,Error
0.012341000000000,0x00,,Error
0.012353500000000,0x00,,Error
0.012366000000000,0x00,,Error
0.036184000000000,0xAA,,Error
0.036197500000000,0x00,,Error
0.036210000000000,0x14,,Error
0.036223000000000,0xFF,,Error
0.036236500000000,0x00,,Error
0.036249000000000,0x00,,Error
0.036261500000000,0x00,,Error
0.036274500000000,0x75,,
0.036286500000000,0x00,,Error
0.036299000000000,0x10,,Error
0.036313500000000,0x55,,
0.036325500000000,0x00,,Error
0.060141000000000,0xAA,,Error
0.060154500000000,0x00,,Error
0.060167000000000,0x00,,Error
0.060180000000000,0xF5,,
0.060192000000000,0x40,,
0.060204500000000,0x00,,Error
0.060218500000000,0x00,,Error
0.060231500000000,0x75,,
0.060243500000000,0x00,,Error
0.060256000000000,0x10,,Error
0.060268500000000,0x01,,Error
0.060281000000000,0x00,,Error
0.084099500000000,0xFF,,
0.084111500000000,0x00,,Error
0.084125500000000,0x00,,Error
0.084138000000000,0x00,,Error
0.084150500000000,0x00,,Error
0.084163000000000,0x00,,Error
0.084175500000000,0x00,,Error
0.084188500000000,0xAA,,Error
0.084202000000000,0x00,,Error
0.084214500000000,0x00,,Error
0.084227500000000,0x55,,
0.084239500000000,0x00,,Error
0.108055000000000,0xFF,,Error
0.108068500000000,0x00,,Error
0.108081000000000,0x00,,Error
0.108094000000000,0x55,,
0.108106000000000,0x00,,Error
0.108118500000000,0x00,,Error
0.108131000000000,0x00,,Error
0.108145500000000,0x75,,
0.108157500000000,0x00,,Error
0.108170000000000,0x00,,Error
0.108182500000000,0x00,,Error
0.108195000000000,0x00,,Error
0.132012000000000,0xAB,,Error
0.132025500000000,0x00,,Error
0.132038000000000,0x00,,Error
0.132051000000000,0x55,,
0.132063000000000,0x40,,
0.132075500000000,0x00,,Error
0.132088000000000,0x00,,Error
0.132102500000000,0x75,,
0.132114500000000,0x00,,Error
0.132127000000000,0x00,,Error
0.132139500000000,0x00,,Error
0.132152000000000,0x00,,Error
0.155969000000000,0x75,,
0.155981000000000,0x00,,Error
0.155993500000000,0x10,,Error
0.156008000000000,0x55,,
0.156020000000000,0x00,,Error
0.156032500000000,0x00,,Error
0.156045000000000,0x00,,Error
0.156057500000000,0x05,,Error
0.156070000000000,0x00,,Error
0.156084000000000,0x00,,Error
0.156096500000000,0x00,,Error
0.156109000000000,0x00,,Error
0.179926000000000,0x75,,
0.179938000000000,0x00,,Error
0.179950500000000,0x10,,Error
0.179963000000000,0x01,,Error
0.179977000000000,0x00,,Error
0.179989500000000,0x00,,Error
0.180002000000000,0x00,,Error
0.180014500000000,0x00,,Error
0.180027000000000,0x00,,Error
0.180039500000000,0x50,,Error
0.180053500000000,0x00,,Error
0.180066000000000,0x00,,Error
0.180151500000000,0xAA,,
0.180164000000000,0x00,,
0.180176500000000,0x00,,
0.180189000000000,0x00,,
0.180201500000000,0x00,,
0.180214000000000,0x00,,
0.180227000000000,0x00,,
0.180239500000000,0x00,,
0.180252000000000,0x00,,
0.180264500000000,0x0F,,
0.180277000000000,0x00,,
0.180289500000000,0x0F,,
0.180302000000000,0x00,,
0.180314500000000,0x0F,,
0.180327000000000,0x00,,
0.180339500000000,0x0F,,
0.180352000000000,0x00,,
0.180364500000000,0xFF,,
0.180377500000000,0xFF,,
0.180390000000000,0xFF,,
0.180402500000000,0xFF,,
0.180415000000000,0xFF,,
0.180427500000000,0xFF,,
0.180440000000000,0xFF,,
0.180452500000000,0xFF,,
0.180465000000000,0xFF,,
0.180477500000000,0xFF,,
0.180490000000000,0xFF,,
0.180502500000000,0xFF,,
0.180515000000000,0xFF,,
0.180528000000000,0xFF,,
0.180540500000000,0xFF,,
0.180553000000000,0xFF,,
0.180565500000000,0xFF,,
0.180578000000000,0xFF,,
0.180590500000000,0xFF,,
0.180603000000000,0xFF,,
0.180615500000000,0xFF,,
0.180628000000000,0xFF,,
0.180640500000000,0xFF,,
0.180653000000000,0xFF,,
